company,industry,title,location,work_model,date,url,technologies
Siemens Israel,Technology,FAQs & Support,Israel (Assumed),Not Specified,2026-07-22,https://jobs.siemens.com/,N/A
Veeam Software Israel,Technology,Technical Support,Israel (Assumed),Not Specified,2026-07-22,https://careers.veeam.com/,N/A
Noma Security,Technology,Senior Technical SupportTel Aviv  ·  Full-time  ·  Senior,Israel (Assumed),Not Specified,2026-07-22,https://www.noma.security/careers/noma.security/careers/co/tel-aviv/A5.761/senior-technical-support/all,N/A
Island,Technology,Technical Support Team LeadDallas HQ,Israel (Assumed),Not Specified,2026-07-22,https://www.island.io/careers/#see-open-positions,N/A
Island,Technology,Technical Support Team LeadDallas HQ,Israel (Assumed),Not Specified,2026-07-22,https://www.island.io/careers/#,N/A
Cysiv,Technology,Support,Israel (Assumed),Not Specified,2026-07-22,https://www.cysiv.com/careers,N/A
JFrog,Technology,Technical Support2 Open Positions,Israel (Assumed),Not Specified,2026-07-22,https://join.jfrog.com/positions?gh_department=39297,N/A
Yotpo,Technology,"New York, USCustomer Success Manager (Ocean)",Israel (Assumed),Not Specified,2026-07-22,https://www.yotpo.com/careers/gid-8054158/,N/A
Logz.io,Technology,Supporting Our Communities,Israel (Assumed),Not Specified,2026-07-22,https://logz.io/careers/,N/A
eToro,Technology,Customer Support,Israel (Assumed),Not Specified,2026-07-22,https://www.etoro.com/about/careers/,N/A
Optimove,Technology,Wellness support & team events,Israel (Assumed),Not Specified,2026-07-22,https://www.optimove.com/careers,N/A
Zendesk Israel,Technology,IT support that empowers your workforce,Israel (Assumed),Not Specified,2026-07-22,https://www.zendesk.com/careers/,N/A
HubSpot Israel,Technology,Scale support,Israel (Assumed),Not Specified,2026-07-22,https://www.hubspot.com/use-case/scale-customer-service-support?hubs_content=www.hubspot.com/careers&hubs_content-cta=nav-solutions-support,N/A
Intercom Israel,Technology,Building frontier AI products,Israel (Assumed),Not Specified,2026-07-22,https://fin.ai/events/ai-series/building-frontier-ai-products,N/A
Airtable Israel,Technology,"Family planning, adoption, and infertility support",Israel (Assumed),Not Specified,2026-07-22,https://www.airtable.com/careers,N/A
Notion Israel,Technology,"Customer Support - BillingHyderabad, India",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/9dd54b96-29f7-4263-8aba-768f90cd2715,N/A
Notion Israel,Technology,"Enterprise Technical Support EngineerSan Francisco, California",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/15f37b73-d217-469a-adfc-2e50cc9e2374,N/A
Notion Israel,Technology,"Product Support ManagerHyderabad, India",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/3339493a-ee21-49f3-ab09-e1f8ba8f1b92,N/A
Notion Israel,Technology,"Technical Support Manager, EMEADublin, Ireland",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/2505ddde-b2c1-4b01-8f75-414dc26ab843,N/A
Notion Israel,Technology,"Commercial Customer Success Manager, JapanTokyo, Japan",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/70a048d5-802b-4aed-aa73-30afc34ca35a,N/A
Notion Israel,Technology,"Customer Success Manager, SydneySydney, Australia",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/bbeea3e7-7b2a-4d39-865a-0e2453d72259,N/A
Notion Israel,Technology,"Enterprise Customer Success Manager, JapanTokyo, Japan",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/8ca01f57-f808-43bc-ae39-cb35fdad1dc5,N/A
Notion Israel,Technology,"Head of Customer Success, EMEADublin, Ireland",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/49cd4d51-b117-4610-9203-a5d9710cd089,N/A
Notion Israel,Technology,"Mid-Market Customer Success Manager, JapanTokyo, Japan",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/5cc98646-931a-4c00-be36-f292fa1f431f,N/A
Notion Israel,Technology,"Scaled Customer Success Manager, CEEDublin, Ireland",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/b98e7f3c-b589-46f4-84a2-3b666f4740f2,N/A
Notion Israel,Technology,"Scaled Customer Success Manager, FrenchDublin, Ireland",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/7ac2e788-159b-411f-b998-36db2fcc1591,N/A
Notion Israel,Technology,"Scaled Customer Success Manager, UKIDublin, Ireland",Israel (Assumed),Not Specified,2026-07-22,https://jobs.ashbyhq.com/notion/9fdc08a2-49b8-4da0-8e20-e657f505e9a8,N/A
