company,industry,title,location,work_model,date,url,technologies
Orca Security,Technology,Marketing,Israel (Assumed),Not Specified,2026-07-10,https://orca.security/careers/,N/A
Legit Security,Technology,Marketing,Israel (Assumed),Not Specified,2026-07-10,https://www.legitsecurity.com/careers,N/A
JFrog,Technology,Marketing11 Open Positions,Israel (Assumed),Not Specified,2026-07-10,https://join.jfrog.com/positions?gh_department=39293,N/A
Fireblocks,Technology,Marketing1,Israel (Assumed),Not Specified,2026-07-10,https://www.fireblocks.com/careers/,N/A
HubSpot Israel,Technology,Automate marketing,Israel (Assumed),Not Specified,2026-07-10,https://www.hubspot.com/use-case/automate-marketing?hubs_content=www.hubspot.com/careers&hubs_content-cta=nav-solutions-automate,N/A
Notion Israel,Technology,"Customer Success Manager, KoreaSeoul, South Korea",Israel (Assumed),Not Specified,2026-07-10,https://jobs.ashbyhq.com/notion/869be97b-30d6-4612-a22b-2101a8b2a190,N/A
Notion Israel,Technology,"Field Marketing ManagerSan Francisco, California; New York, New York",Israel (Assumed),Not Specified,2026-07-10,https://jobs.ashbyhq.com/notion/62fa0a9a-acd7-4753-a051-f98617ffbb9b,N/A
Notion Israel,Technology,"SMB Demand Generation Marketing Manager, Japan (Contract)Tokyo, Japan",Israel (Assumed),Not Specified,2026-07-10,https://jobs.ashbyhq.com/notion/6a74ae74-4dad-473a-b43b-d00bdf8a3813,N/A
Squarespace Israel,Technology,Marketing Tools,Israel (Assumed),Not Specified,2026-07-10,https://www.squarespace.com/careers,N/A
Squarespace Israel,Technology,Growth Marketing11Learn More,Israel (Assumed),Not Specified,2026-07-10,https://www.squarespace.com/careers/careers/growth-marketing,N/A
ScaleOps,Technology,Product Marketing Manager - ILIsraelOn-siteApply Online,Israel (Assumed),On-site,2026-07-10,https://scaleops.com/careers/scaleops.com/careers/co/israel/AE.B6A/product-marketing-manager-il/all,N/A
ScaleOps,Technology,Product Marketing Manager - USUSAOn-siteApply Online,Israel (Assumed),On-site,2026-07-10,https://scaleops.com/careers/scaleops.com/careers/co/usa/AE.B6B/product-marketing-manager-us/all,N/A
ScaleOps,Technology,Senior Field Marketing ManagerUSAFull-timeRemoteApply Online,Israel (Assumed),Not Specified,2026-07-10,https://scaleops.com/careers/scaleops.com/careers/co/usa/2E.85C/senior-field-marketing-manager/all,N/A
ScaleOps,Technology,Senior Marketing Operations - ILIsraelOn-siteApply Online,Israel (Assumed),On-site,2026-07-10,https://scaleops.com/careers/scaleops.com/careers/co/israel/AE.B64/senior-marketing-operations-il/all,N/A
ScaleOps,Technology,Senior Marketing Operations - USUSARemoteApply Online,Israel (Assumed),Not Specified,2026-07-10,https://scaleops.com/careers/scaleops.com/careers/co/usa/AE.B68/senior-marketing-operations-us/all,N/A
Zesty,Technology,MARKETING,Israel (Assumed),Not Specified,2026-07-10,https://zesty.co/careers/,N/A
TytoCare,Technology,Marketing,Israel (Assumed),Not Specified,2026-07-10,https://www.tytocare.com/careers/,N/A
Rewalk Robotics,Technology,Marketing,Israel (Assumed),Not Specified,2026-07-10,https://rewalk.com/careers/,N/A
