company,industry,title,location,work_model,date,url,technologies
CyberArk,Technology,Why Identity Security,Israel (Assumed),Not Specified,2026-06-30,https://www.cyberark.com/careers/,N/A
Noma Security,Technology,AI Security Posture Management Solution,Israel (Assumed),Not Specified,2026-06-30,https://www.noma.security/careers,N/A
Noma Security,Technology,Senior Security ResearcherTel Aviv  ·  Full-time  ·  Senior,Israel (Assumed),Not Specified,2026-06-30,https://www.noma.security/careers/noma.security/careers/co/tel-aviv/5D.A5A/senior-security-researcher/all,N/A
Salt Security,Technology,Security Solutions across the entire lifecycle,Israel (Assumed),Not Specified,2026-06-30,https://salt.security/careers,N/A
Bionic (CrowdStrike),Technology,CrowdStrike Falcon® Cloud Security,Israel (Assumed),Not Specified,2026-06-30,https://www.bionic.ai/careers,N/A
Flow Security,Technology,CrowdStrike Falcon® Data Security,Israel (Assumed),Not Specified,2026-06-30,https://www.flow.security/careers,N/A
MorphiSec,Technology,Financial security,Israel (Assumed),Not Specified,2026-06-30,https://www.morphisec.com/careers,N/A
Transmit Security,Technology,Smash Security Threats Like Pro!,Israel (Assumed),Not Specified,2026-06-30,https://www.transmitsecurity.com/careers,N/A
Devo Israel,Technology,Security Data Platform,Israel (Assumed),Not Specified,2026-06-30,https://www.devo.com/careers/,N/A
SCADAfence,Technology,Cybersecurity Services,Israel (Assumed),Not Specified,2026-06-30,https://www.scadafence.com/careers,N/A
SCADAfence,Technology,OT Cybersecurity,Israel (Assumed),Not Specified,2026-06-30,https://www.scadafence.com/careers/us/en/solutions/ot-cybersecurity,N/A
CloudLock,Technology,Why DNS Security,Israel (Assumed),Not Specified,2026-06-30,https://www.cloudlock.com/careers,N/A
Dig Security,Technology,Read about our approach to Cloud Data Security.,Israel (Assumed),Not Specified,2026-06-30,https://www.dig.security/careers,N/A
Checkmarx,Technology,AI-Powered Security Agents — Checkmarx Assist,Israel (Assumed),Not Specified,2026-06-30,https://checkmarx.com/careers/,N/A
Intercom Israel,Technology,Safety and Security,Israel (Assumed),Not Specified,2026-06-30,https://trust.intercom.com/,N/A
Notion Israel,Technology,"Software Engineer, SecuritySan Francisco, California",Israel (Assumed),Not Specified,2026-06-30,https://jobs.ashbyhq.com/notion/def3f337-5593-491c-b34d-e0b53f2a5cac,N/A
Notion Israel,Technology,"Application Security Engineer, AI SecuritySan Francisco, California",Israel (Assumed),Not Specified,2026-06-30,https://jobs.ashbyhq.com/notion/e3944777-d4a8-41d2-88ab-32daef949d4e,N/A
Notion Israel,Technology,"Security Engineer, Detection and ResponseDublin, Ireland",Israel (Assumed),Not Specified,2026-06-30,https://jobs.ashbyhq.com/notion/06e1d3a8-2706-4ed9-9fe6-8b69607de18e,N/A
ScaleOps,Technology,Social Media Specialist - ILIsraelOn-siteApply Online,Israel (Assumed),On-site,2026-06-30,https://scaleops.com/careers/scaleops.com/careers/co/israel/AE.B6F/social-media-specialist-il/all,N/A
Datarails,Technology,"Senior Security EngineerTel Aviv-Yafo, Tel Aviv District, Israel",Israel (Assumed),Not Specified,2026-06-30,https://www.datarails.com/careers/4282627009/,N/A
